Gene,SHAP_Importance
NOVA1,8.582414e-05
JADE1,7.9359466e-05
PRRC2B,6.84031e-05
KANSL3,6.564362e-05
ZNF445,6.487047e-05
MYO9A,6.442602e-05
USP49,6.0904757e-05
RTF1,6.0255814e-05
HDAC6,6.0177234e-05
ZNF322,5.861302e-05
MLLT11,5.7667232e-05
APLP1,5.5546476e-05
KIAA1958,5.526793e-05
ZYG11B,5.3082145e-05
CEP97,4.853917e-05
MAFF,4.7836336e-05
GATAD2B,4.5192213e-05
SP4,4.248852e-05
TMEFF1,4.1929667e-05
ARL14,4.03261e-05
PHF21A,3.876007e-05
MAML1,3.173559e-05
GRK4,3.1586773e-05
EVL,3.110433e-05
CPN1,3.0813342e-05
ZFP82,3.029422e-05
ZNF263,2.262816e-05
SCMH1,2.2546526e-05
PPP2R5D,1.9664314e-05
FAM171A2,1.8194465e-05
SIRT1,1.7052198e-05
ZNF471,1.6970132e-05
POGZ,1.5963451e-05
PIK3R3,1.1014751e-05
TRIM51,0.0
POGK,0.0
