Gene,RF_Importance
TAF9B,0.0022848000960387993
MELTF,0.0022722967925884684
CXCL12,0.002264072684559213
MAGED1,0.0022423976611839562
OSBPL3,0.002238006405096775
TMEM170B,0.0021925862891430006
ZNF346,0.0021832395708725762
RHOT1,0.0021540744267115595
FXYD5,0.0021500286309157845
FBXO21,0.002138847169564284
MAFF,0.0021333757569189636
RNF40,0.0021100491702866066
SNAPIN,0.00210737174872212
ZFP82,0.002104074553818041
KCNN4,0.0020980693599652565
SETBP1,0.002097442338015381
KIF1B,0.0020845332699171984
CAPN7,0.002082323999878061
IER3,0.0020805399279044926
LHX2,0.0020667995297964066
SLC37A2,0.002064061177611681
SMAD9,0.0020611064413120286
SOX12,0.002050525513350433
IFT122,0.0020477640698192716
TMSB15C,0.0020475444585440336
KAT6B,0.0020419769388185117
HSD17B6,0.0020394036413205834
CITED2,0.0020252291493860564
SMIM17,0.0020208934830157903
CPLANE1,0.0020158262897744905
ZNF680,0.0020009918696468195
ATP10B,0.0019939978630148874
NELL2,0.001988957879924532
HMGA1,0.0019813661541254446
GJB1,0.0019771596685615785
AR,0.0019674548162919897
CEACAM1,0.00196547232398423
PDE6B,0.001957509008901421
ZNF48,0.0019500495978385525
GNMT,0.00190522216957557
ARHGAP35,0.0018972459031029458
ZNF354C,0.0018930322752238131
BARD1,0.0018923333079479963
FNDC5,0.0018398014193461876
ZNF540,0.0018160002194386954
RWDD2A,0.0018138955572784725
PHF13,0.0018130620629566447
ZNF892,0.0018055249170133747
SLC12A5,0.0017984798204910024
SPTBN4,0.0017982190886391596
TBC1D10B,0.001794638617816429
ZNF273,0.0017918856284839394
RIT1,0.001781238950490686
RAB38,0.0017719731211843675
BEND6,0.0017587949252506699
ZNF678,0.0017499186554099974
TATDN2,0.0017480659334620256
SLC26A11,0.0017440586657770602
DNASE1,0.0017416876562795765
RLBP1,0.0017395605315083614
ADAMTS2,0.0017356829427833903
PLXDC1,0.0017266963746936984
KAT7,0.0017264417814159137
NEURL1B,0.0017214435439452298
ARID4B,0.0017212309205878748
GPR89A,0.0017204714266688714
ZNF606,0.0017169560598826797
SIX5,0.0017166983539923602
PIAS3,0.0017160674208682024
ITGA2,0.0017093603825030837
PCDH1,0.0017071457546644127
PXMP2,0.0017055657003704108
TNFRSF14,0.0017049682879895383
FBXO36,0.0017016866580807756
EREG,0.00170102372630256
SDC2,0.001698615131092988
ZNF682,0.0016824123959322613
TTC33,0.0016823620697451254
BRPF3,0.0016792073525021816
ALDH1A3,0.0016762771688827892
PALM,0.0016710518518852188
SEMA5B,0.001659614571092446
USP49,0.0016456190000467674
RAB33B,0.0016414795084353797
KPNA5,0.0016362204395559128
ARL3,0.0016336146012133046
CACFD1,0.0016312624987395161
MFAP4,0.0016232613037472376
FERMT1,0.0016033962663604751
TLCD5,0.0015888641313686887
INSYN1,0.0015877375470686472
ZNF304,0.0015850075469344244
AKAP5,0.0015792349967654958
ZNF565,0.001575881373630568
VPS45,0.0015690594561447498
BLOC1S5,0.0015607266409101285
TMEM65,0.0015563871645776239
NREP,0.001541319660205838
BTF3L4,0.0015279376307488115
UNKL,0.0015232400145796933
CYP46A1,0.0015226443275558085
ZBTB22,0.0015199099313558005
GTF3C1,0.001519422407234065
C14orf132,0.0015112332624082811
CCDC167,0.0015080087930983263
KCTD2,0.0015054574848553605
ZNF607,0.0015037475980386327
ZNF135,0.0014984274928979936
MXD3,0.001490330496074129
SAC3D1,0.0014860130357142501
CEP89,0.001484363705218096
NEXMIF,0.00147179179962917
ZC3H10,0.0014667115098891319
TSPYL4,0.001465200233061169
TRIM45,0.0014560497695394307
PBX1,0.0014519674725557642
SIRT1,0.0014380385163725795
TCERG1L,0.0014317829390884304
MTCL2,0.0014311182171207954
ZNF879,0.0014294544314202293
CCDC74B,0.0014256039903188045
KRBA1,0.001423232073111572
DXO,0.0014218840723224811
ANO1,0.0014210794432104525
LDOC1,0.0014137490622647586
NOVA1,0.0014123690822466083
HCFC2,0.0014097007853616866
SEC61A2,0.001407311203642183
MYO9A,0.001406946542392472
ZNF250,0.001398721900354479
PCSK1N,0.0013973619102601565
ADCY5,0.0013959628709885271
CAMK1D,0.001394648521476742
NSL1,0.0013888839328343179
HECTD4,0.0013802549642498475
ZNF594,0.0013750908653176422
GSE1,0.0013720586137264178
RSPH14,0.0013686125260109392
MAML1,0.0013635395194206766
TGFB3,0.001360701234174848
ZNF853,0.0013563085582206597
USP13,0.0013519443415437203
GUCY1B1,0.001347855566160621
ALMS1,0.001344798135161364
THAP8,0.0013430956102043045
ZNF71,0.001340540799213853
COL17A1,0.0013391136251360244
PHF21A,0.0013381250457686097
ZNF708,0.0013376608831898252
ZNF444,0.0013283622791513583
INTS3,0.0013254723732921414
WDR7,0.0013245702186156037
ZNF500,0.0013241979934446753
FAM120C,0.0013093745787712062
USP30,0.0013042013965979433
MYEF2,0.0013018667205933717
AS3MT,0.001288704071195257
ZSCAN18,0.0012856531473978974
THTPA,0.001283869629220845
PRCC,0.0012814143281787227
RARS2,0.0012774588230701268
S100PBP,0.0012769743551067005
ARHGAP33,0.001273563173998686
FAM220A,0.0012732465928956473
TBC1D24,0.0012728631382933461
GRK4,0.0012717561515222448
FAM168A,0.0012652069272770996
ZNF737,0.0012637919803747003
KLHDC3,0.0012630391395196767
